date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 8, 2023 12:21:33 PM PST",19016078031,Order,114-8223915-4267424,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,CUMBERLAND,MD,21502-8414,MarketplaceFacilitator,16.99,0,0,0,0,0,0,0,0,0,0,-2.96,-5.7,0,0,8.33
"Nov 8, 2023 1:55:24 PM PST",19016078031,Order,111-4580341-4155413,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,SOMERSET,NJ,08873-4882,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 9, 2023 2:07:21 PM PST",19016078031,Order,112-9226000-9106669,PT0003-US,"FUEGO MEXIKAï¿½ | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de ï¿½rbol Chi",6,amazon.com,Amazon,BETHEL,AK,99559-3308,MarketplaceFacilitator,89.94,5.1,0,0,0,0,0,0,-4.5,0,-5.1,-7.93,-30.3,0,0,47.21
"Nov 11, 2023 1:14:56 AM PST",19016078031,Order,114-9424779-5264263,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,ELK GROVE,CA,95758-9555,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 11, 2023 5:11:38 AM PST",19016078031,Order,114-9868024-9089824,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,TACOMA,WA,98443-1003,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 11, 2023 9:17:33 AM PST",19016078031,Service Fee,,,Subscription,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.77,-26.77
"Nov 11, 2023 2:32:05 PM PST",19016078031,Order,112-4991035-8313806,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a",1,amazon.com,Amazon,HOLLISTER,CA,95023-9468,MarketplaceFacilitator,13.56,0,0,0,0,0,0,0,0,0,0,-1.25,-4.54,0,0,7.77
"Nov 11, 2023 2:32:05 PM PST",19016078031,Order,112-4991035-8313806,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,HOLLISTER,CA,95023-9468,MarketplaceFacilitator,13.57,0,0,0,0,0,0,0,0,0,0,-1.26,-5.05,0,0,7.26
"Nov 11, 2023 2:32:05 PM PST",19016078031,Order,112-4991035-8313806,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,HOLLISTER,CA,95023-9468,MarketplaceFacilitator,15.37,0,0,0,0,0,0,0,0,0,0,-2.68,-5.7,0,0,6.99
"Nov 11, 2023 8:45:40 PM PST",19016078031,Order,114-8034768-9878649,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,ROWLETT,TX,75089-1660,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
